Customer ID,Customer Name,City
72-055-7985,Laney Fadden,Daruoyan
65-353-0657,Giacopo Bramich,Ongjin
90-876-6799,Lia Bonar,Quince Mil
73-873-4827,Merrill Baudon,Susaki
80-927-5246,Tasia Fautly,Tobruk
77-111-2020,Angel Veschambre,Rafael Hernandez Ochoa
10-341-4047,Sheilah Maestro,Belozërskoye
83-800-4789,Audie Willcocks,Póvoa do Valado
89-896-4591,Mart Malsher,Gal’bshtadt
21-282-1343,Magdalen Lacheze,Fuyang
04-699-2162,Margarita Mancktelow,Pindiga
72-013-3529,Ashil Brogini,Wakayama-shi
09-688-8521,Arthur Mathewson,Qingshan
08-390-4691,Ennis Dungate,Pueblo Viejo
56-479-7571,Tiffani Halstead,Chelbasskaya
75-558-6855,Roddie Winterbotham,Leticia
09-710-7305,Pincas Stearn,Bielefeld
81-678-3234,Tony Crabtree,Kuzhu
83-988-2186,Tamarah Filasov,Kertamukti
66-386-4902,Pen Pruce,Yeghegnut
37-285-0504,Boot Burree,Baisangguan
07-111-7669,Sabra Calbreath,Františkovy Lázně
84-136-7752,Obidiah Zanicchi,Tabu
72-417-9175,Anders Stowe,Da’anshan
79-082-9805,Locke Janaway,Jelat
24-545-1124,Kaylyn Colebourne,Shuangqiao
84-300-6499,Noni Quickenden,Mont-Royal
93-913-0650,Alan Paskell,Longzui
91-251-5721,Anny Pattemore,Karanganyar
04-960-9928,Les Harmson,Podkamennaya Tunguska
35-042-6593,Horatio Lundy,Huangcun
45-879-0850,Sibley Rodder,Tyvriv
78-492-1244,Dniren Copperwaite,Zhuhu
87-172-1004,Sorcha Beesley,Zabrat
55-516-2272,Alison Jamieson,Cambuí
79-227-9821,Dre Danher,Libei
87-811-2475,Chris Gummer,Kubangwaru
97-003-2495,Adiana Shirtliff,Haradzyeya
26-631-4044,Derry Davis,La Loma
07-925-9556,Lenci McFadzean,El Triunfo de la Cruz
18-296-6063,Uriel Grooby,Izumi
26-237-6257,Jillayne Gaiford,Būlaevo
77-064-4656,Tiertza Doogan,Ovsyanka
29-631-4932,Ilario Michie,Pindiga
04-268-9065,Sarah Plaschke,Narathiwat
06-545-4037,Skipp Lowater,Pacaraos
82-278-5664,Maddalena Wolfinger,Senanga
19-112-3031,Mariquilla Labbe,Notsé
58-749-9630,Cornelius Harkess,Morelos
60-238-7059,Erv Padrick,Phichai
03-575-7094,Fielding Struys,Shensuo
83-465-8495,Purcell Eyer,Qulsary
97-122-0077,Pietra Dibdall,El Alamo
44-106-8726,Dyanne Labbet,Samanggen
75-652-8475,Elsworth Stannas,Jinhai
66-683-1761,Marlo McGeaney,Matangshan
18-238-2784,Calvin Aucock,Ngarus
14-427-0652,Prudence Eastlake,Stockholm
96-883-5571,Gwenora Beauchamp,Petauke
59-450-2625,Jerrie Jiran,Lorena
17-237-9919,Linc Martynov,Saint-Malo
89-302-9477,Jackie Kment,Bến Cầu
30-395-2269,Phil Schapero,Rancapare
60-742-1416,Giusto Sheavills,Mospyne
42-286-4150,Emmalynne Hairs,Lewobelek
36-854-2570,Mirna Rosita,Novorossiysk
00-988-1489,Alard Briat,Kyshtym
80-467-4735,Ferdinand Fowley,Ntungamo
04-049-1006,Averell Joint,Hancheng
25-492-4931,Deane Benbough,Dongxin
38-206-8901,Grenville Hyne,Shawan
93-710-1150,Asia McNess,Carromeu
79-752-9044,Fayre Crocket,Kohila
94-829-5714,Olive Jeannon,Kizhinga
17-162-2135,Karoline Pocock,Bislig
08-581-0238,Rosanne Zorzutti,Oji River
51-824-3545,Kele Bracknell,Pisangkemeng
03-133-1843,Artair Lant,Ulety
52-259-8758,Marielle Buffey,Mogoditshane
22-744-2112,Maighdiln Lamswood,Guangshun
54-926-6336,Deina Agus,Molagavita
38-254-0934,Cirilo Koschek,Garešnica
72-486-1808,Konrad Standering,Sanshan
40-931-4451,Lilyan Schohier,Youchou
81-286-3465,Eva Dulake,Voiron
42-037-9687,Roi Critzen,Leninsk
09-427-8083,Darby McLae,Sinmak
73-000-6730,Christian Yeld,Parigi
24-902-5422,Delilah Ayerst,Ngedhusuba
38-777-7517,Hynda Skeel,Mata-Utu
45-670-3073,Mill Lambell,Otuzco
22-817-6388,Melicent Gieves,Jangkat
30-882-6768,Melisent Claessens,Tân Phú
80-373-3482,Son Hurworth,Cruz Alta
19-175-1000,Martainn Van Zon,Su-ngai Kolok
27-350-6986,Elladine Kobiela,Bajos de Haina
